Cassette #,Layer #,Material,Thickness (mm),Cumulative Thickness (mm),Radition Length (g/cm2),Density (g/cm3),# of Radiation Lengths,Layerwise Radiation Lentgh,Cumulative Radiation Length,Z values,Z min,Z max
,,Lead,8.22,281.6,6.37,11.35,1.46463,1.50637,18.61346,3487.99,3483.88,3492.1
,,glue,0.05,281.65,42.6,1.3,0.00015,1.50652,18.61361,3492.125,3492.1,3492.15
,,Stainless Steel,0.3,281.95,13.918,8.02,0.01729,1.52380,18.63090,3492.3,3492.15,3492.45
,,Cu,0.1,282.05,12.86,8.96,0.00697,1.53077,18.63786,3492.5,3492.45,3492.55
,,Air,0.225,282.275,37.1,0.0012,0.00000,1.53077,18.63786,3492.6625,3492.55,3492.775
,,PCB,1.6,283.875,31.84,1.7,0.00854,1.53932,18.64641,3493.575,3492.775,3494.375
,,Air('electronics'),3.73,287.605,37.1,0.0012,0.00001,1.53933,18.64642,3496.24,3494.375,3498.105
,,PCB (Hexaboard),1.6,289.205,31.84,1.7,0.00854,1.54787,18.65496,3498.905,3498.105,3499.705
,,glue,0.075,289.28,42.6,1.3,0.00023,1.54810,18.65519,3499.7425,3499.705,3499.78
10,19,Si,0.3,289.58,21.21,2.33,0.00330,1.55139,18.65849,3499.93,3499.78,3500.08
,,glue,0.065,289.645,42.6,1.3,0.00020,0.00020,18.65868,3500.1125,3500.08,3500.145
,,kapton,0.265,289.91,40.596,1.11,0.00072,0.00092,18.65941,3500.2775,3500.145,3500.41
,,glue,0.065,289.975,42.6,1.3,0.00020,0.00112,18.65961,3500.4425,3500.41,3500.475
,,Cu/W,1.4,291.375,7.669,14.979,0.27345,0.27457,18.93305,3501.175,3500.475,3501.875
,,Cooling plate (Cu),6.05,297.425,12.86,8.96,0.42152,0.69609,19.35458,3504.9,3501.875,3507.925
,,Cu/W,1.4,298.825,7.669,14.979,0.27345,0.96954,19.62802,3508.625,3507.925,3509.325
,,glue,0.065,298.89,42.6,1.3,0.00020,0.96974,19.62822,3509.3575,3509.325,3509.39
,,kapton,0.265,299.155,40.596,1.11,0.00072,0.97046,19.62895,3509.5225,3509.39,3509.655
,,glue,0.065,299.22,42.6,1.3,0.00020,0.97066,19.62915,3509.6875,3509.655,3509.72
10,20,Si,0.3,299.52,21.21,2.33,0.00330,0.97395,19.63244,3509.87,3509.72,3510.02
,,glue,0.075,299.595,42.6,1.3,0.00023,0.00023,19.63267,3510.0575,3510.02,3510.095
,,PCB (Hexaboard),1.6,301.195,31.84,1.7,0.00854,0.00877,19.64121,3510.895,3510.095,3511.695
,,Air('electronics'),3.73,304.925,37.1,0.0012,0.00001,0.00878,19.64122,3513.56,3511.695,3515.425
,,PCB,1.6,306.525,31.84,1.7,0.00854,0.01733,19.64977,3516.225,3515.425,3517.025
,,Air,0.225,306.75,37.1,0.0012,0.00000,0.01733,19.64977,3517.1375,3517.025,3517.25
,,Cu,0.1,306.85,12.86,8.96,0.00697,0.02429,19.65674,3517.3,3517.25,3517.35
,,Stainless Steel,0.3,307.15,13.918,8.02,0.01729,0.04158,19.67402,3517.5,3517.35,3517.65
,,glue,0.05,307.2,42.6,1.3,0.00015,0.04173,19.67418,3517.675,3517.65,3517.7
,,Lead,8.22,315.42,6.37,11.35,1.46463,1.50637,21.13881,3521.81,3517.7,3525.92
,,glue,0.05,315.47,42.6,1.3,0.00015,1.50652,21.13896,3525.945,3525.92,3525.97
,,Stainless Steel,0.3,315.77,13.918,8.02,0.01729,1.52380,21.15625,3526.12,3525.97,3526.27
,,Cu,0.1,315.87,12.86,8.96,0.00697,1.53077,21.16321,3526.32,3526.27,3526.37
,,Air,0.225,316.095,37.1,0.0012,0.00000,1.53077,21.16321,3526.4825,3526.37,3526.595
,,PCB,1.6,317.695,31.84,1.7,0.00854,1.53932,21.17176,3527.395,3526.595,3528.195
,,Air('electronics'),3.73,321.425,37.1,0.0012,0.00001,1.53933,21.17177,3530.06,3528.195,3531.925
,,PCB (Hexaboard),1.6,323.025,31.84,1.7,0.00854,1.54787,21.18031,3532.725,3531.925,3533.525
,,glue,0.075,323.1,42.6,1.3,0.00023,1.54810,21.18054,3533.5625,3533.525,3533.6
11,21,Si,0.3,323.4,21.21,2.33,0.00330,1.55139,21.18384,3533.75,3533.6,3533.9
,,glue,0.065,323.465,42.6,1.3,0.00020,0.00020,21.18403,3533.9325,3533.9,3533.965
,,kapton,0.265,323.73,40.596,1.11,0.00072,0.00092,21.18476,3534.0975,3533.965,3534.23
,,glue,0.065,323.795,42.6,1.3,0.00020,0.00112,21.18496,3534.2625,3534.23,3534.295
,,Cu/W,1.4,325.195,7.669,14.979,0.27345,0.27457,21.45840,3534.995,3534.295,3535.695
,,Cooling plate (Cu),6.05,331.245,12.86,8.96,0.42152,0.69609,21.87993,3538.72,3535.695,3541.745
,,Cu/W,1.4,332.645,7.669,14.979,0.27345,0.96954,22.15337,3542.445,3541.745,3543.145
,,glue,0.065,332.71,42.6,1.3,0.00020,0.96974,22.15357,3543.1775,3543.145,3543.21
,,kapton,0.265,332.975,40.596,1.11,0.00072,0.97046,22.15430,3543.3425,3543.21,3543.475
,,glue,0.065,333.04,42.6,1.3,0.00020,0.97066,22.15450,3543.5075,3543.475,3543.54
11,22,Si,0.3,333.34,21.21,2.33,0.00330,0.97395,22.15779,3543.69,3543.54,3543.84
,,glue,0.075,333.415,42.6,1.3,0.00023,0.00023,22.15802,3543.8775,3543.84,3543.915
,,PCB (Hexaboard),1.6,335.015,31.84,1.7,0.00854,0.00877,22.16656,3544.715,3543.915,3545.515
,,Air('electronics'),3.73,338.745,37.1,0.0012,0.00001,0.00878,22.16657,3547.38,3545.515,3549.245
,,PCB,1.6,340.345,31.84,1.7,0.00854,0.01733,22.17512,3550.045,3549.245,3550.845
,,Air,0.225,340.57,37.1,0.0012,0.00000,0.01733,22.17512,3550.9575,3550.845,3551.07
,,Cu,0.1,340.67,12.86,8.96,0.00697,0.02429,22.18209,3551.12,3551.07,3551.17
,,Stainless Steel,0.3,340.97,13.918,8.02,0.01729,0.04158,22.19937,3551.32,3551.17,3551.47
,,glue,0.05,341.02,42.6,1.3,0.00015,0.04173,22.19952,3551.495,3551.47,3551.52
,,Lead,8.22,349.24,6.37,11.35,1.46463,1.50637,23.66416,3555.63,3551.52,3559.74
,,glue,0.05,349.29,42.6,1.3,0.00015,1.50652,23.66431,3559.765,3559.74,3559.79
,,Stainless Steel,0.3,349.59,13.918,8.02,0.01729,1.52380,23.68160,3559.94,3559.79,3560.09
,,Cu,0.1,349.69,12.86,8.96,0.00697,1.53077,23.68856,3560.14,3560.09,3560.19
,,Air,0.225,349.915,37.1,0.0012,0.00000,1.53077,23.68856,3560.3025,3560.19,3560.415
,,PCB,1.6,351.515,31.84,1.7,0.00854,1.53932,23.69711,3561.215,3560.415,3562.015
,,Air('electronics'),3.73,355.245,37.1,0.0012,0.00001,1.53933,23.69712,3563.88,3562.015,3565.745
,,PCB (Hexaboard),1.6,356.845,31.84,1.7,0.00854,1.54787,23.70566,3566.545,3565.745,3567.345
,,glue,0.075,356.92,42.6,1.3,0.00023,1.54810,23.70589,3567.3825,3567.345,3567.42
12,23,Si,0.3,357.22,21.21,2.33,0.00330,1.55139,23.70919,3567.57,3567.42,3567.72
,,glue,0.065,357.285,42.6,1.3,0.00020,0.00020,23.70938,3567.7525,3567.72,3567.785
,,kapton,0.265,357.55,40.596,1.11,0.00072,0.00092,23.71011,3567.9175,3567.785,3568.05
,,glue,0.065,357.615,42.6,1.3,0.00020,0.00112,23.71031,3568.0825,3568.05,3568.115
,,Cu/W,1.4,359.015,7.669,14.979,0.27345,0.27457,23.98375,3568.815,3568.115,3569.515
,,Cooling plate (Cu),6.05,365.065,12.86,8.96,0.42152,0.69609,24.40528,3572.54,3569.515,3575.565
,,Cu/W,1.4,366.465,7.669,14.979,0.27345,0.96954,24.67872,3576.265,3575.565,3576.965
,,glue,0.065,366.53,42.6,1.3,0.00020,0.96974,24.67892,3576.9975,3576.965,3577.03
,,kapton,0.265,366.795,40.596,1.11,0.00072,0.97046,24.67965,3577.1625,3577.03,3577.295
,,glue,0.065,366.86,42.6,1.3,0.00020,0.97066,24.67984,3577.3275,3577.295,3577.36
12,24,Si,0.3,367.16,21.21,2.33,0.00330,0.97395,24.68314,3577.51,3577.36,3577.66
,,glue,0.075,367.235,42.6,1.3,0.00023,0.00023,24.68337,3577.6975,3577.66,3577.735
,,PCB (Hexaboard),1.6,368.835,31.84,1.7,0.00854,0.00877,24.69191,3578.535,3577.735,3579.335
,,Air('electronics'),3.73,372.565,37.1,0.0012,0.00001,0.00878,24.69192,3581.2,3579.335,3583.065
,,PCB,1.6,374.165,31.84,1.7,0.00854,0.01733,24.70047,3583.865,3583.065,3584.665
,,Air,0.225,374.39,37.1,0.0012,0.00000,0.01733,24.70047,3584.7775,3584.665,3584.89
,,Cu,0.1,374.49,12.86,8.96,0.00697,0.02429,24.70743,3584.94,3584.89,3584.99
,,Stainless Steel,0.3,374.79,13.918,8.02,0.01729,0.04158,24.72472,3585.14,3584.99,3585.29
,,glue,0.05,374.84,42.6,1.3,0.00015,0.04173,24.72487,3585.315,3585.29,3585.34
,,Lead,8.22,383.06,6.37,11.35,1.46463,1.50637,26.18951,3589.45,3585.34,3593.56
,,glue,0.05,383.11,42.6,1.3,0.00015,1.50652,26.18966,3593.585,3593.56,3593.61
,,Stainless Steel,0.3,383.41,13.918,8.02,0.01729,1.52380,26.20694,3593.76,3593.61,3593.91
,,Cu,0.1,383.51,12.86,8.96,0.00697,1.53077,26.21391,3593.96,3593.91,3594.01
,,Air,0.225,383.735,37.1,0.0012,0.00000,1.53077,26.21391,3594.1225,3594.01,3594.235
,,PCB,1.6,385.335,31.84,1.7,0.00854,1.53932,26.22246,3595.035,3594.235,3595.835
,,Air('electronics'),3.73,389.065,37.1,0.0012,0.00001,1.53933,26.22247,3597.7,3595.835,3599.565
,,PCB (Hexaboard),1.6,390.665,31.84,1.7,0.00854,1.54787,26.23101,3600.365,3599.565,3601.165
,,glue,0.075,390.74,42.6,1.3,0.00023,1.54810,26.23124,3601.2025,3601.165,3601.24
13,25,Si,0.3,391.04,21.21,2.33,0.00330,1.55139,26.23453,3601.39,3601.24,3601.54
,,glue,0.065,391.105,42.6,1.3,0.00020,0.00020,26.23473,3601.5725,3601.54,3601.605
,,kapton,0.265,391.37,40.596,1.11,0.00072,0.00092,26.23546,3601.7375,3601.605,3601.87
,,glue,0.065,391.435,42.6,1.3,0.00020,0.00112,26.23566,3601.9025,3601.87,3601.935
,,Cu/W,1.4,392.835,7.669,14.979,0.27345,0.27457,26.50910,3602.635,3601.935,3603.335
,,Cooling plate (Cu),6.05,398.885,12.86,8.96,0.42152,0.69609,26.93063,3606.36,3603.335,3609.385
,,Cu/W,1.4,400.285,7.669,14.979,0.27345,0.96954,27.20407,3610.085,3609.385,3610.785
,,glue,0.065,400.35,42.6,1.3,0.00020,0.96974,27.20427,3610.8175,3610.785,3610.85
,,kapton,0.265,400.615,40.596,1.11,0.00072,0.97046,27.20500,3610.9825,3610.85,3611.115
,,glue,0.065,400.68,42.6,1.3,0.00020,0.97066,27.20519,3611.1475,3611.115,3611.18
13,26,Si,0.3,400.98,21.21,2.33,0.00330,0.97395,27.20849,3611.33,3611.18,3611.48
,,glue,0.075,401.055,42.6,1.3,0.00023,0.00023,27.20872,3611.5175,3611.48,3611.555
,,PCB (Hexaboard),1.6,402.655,31.84,1.7,0.00854,0.00877,27.21726,3612.355,3611.555,3613.155
,,Air('electronics'),3.73,406.385,37.1,0.0012,0.00001,0.00878,27.21727,3615.02,3613.155,3616.885
,,PCB,1.6,407.985,31.84,1.7,0.00854,0.01733,27.22582,3617.685,3616.885,3618.485
,,Air,0.225,408.21,37.1,0.0012,0.00000,0.01733,27.22582,3618.5975,3618.485,3618.71
,,Stainless Steel cover,1,409.21,13.918,8.02,0.05762,0.07495,27.28344,3619.21,3618.71,3619.71
,HE,Absorber plate (Stainless steel),45,454.21,13.918,8.02,2.59304,2.66800,29.87649,3642.21,3619.71,3664.71
,,Air,4,458.21,37.1,0.0012,0.00001,2.66801,29.87650,3666.71,3664.71,3668.71
,,Stainless Steel,2.5,460.71,13.918,8.02,0.14406,2.81207,30.02056,3669.96,3668.71,3671.21
,,Air,0.4,461.11,37.1,0.0012,0.00000,2.81207,30.02056,3671.41,3671.21,3671.61
,,PCB,1.6,462.71,31.84,1.7,0.00854,2.82061,30.02910,3672.41,3671.61,3673.21
,,Air('electronics'),3.475,466.185,37.1,0.0012,0.00001,2.82062,30.02911,3674.9475,3673.21,3676.685
,,PCB (Hexaboard),1.6,467.785,31.84,1.7,0.00854,2.82916,30.03765,3677.485,3676.685,3678.285
,,glue,0.075,467.86,42.6,1.3,0.00023,2.82939,30.03788,3678.3225,3678.285,3678.36
14,27,Si,0.3,468.16,21.21,2.33,0.00330,2.83269,30.04118,3678.51,3678.36,3678.66
,,glue,0.075,468.235,42.6,1.3,0.00023,0.00023,30.04141,3678.6975,3678.66,3678.735
,,kapton,0.1,468.335,40.596,1.11,0.00027,0.00050,30.04168,3678.785,3678.735,3678.835
,,glue,0.075,468.41,42.6,1.3,0.00023,0.00073,30.04191,3678.8725,3678.835,3678.91
,,baseplate (PCB),1,469.41,31.84,1.7,0.00534,0.00607,30.04725,3679.41,3678.91,3679.91
,,Cooling plate (Cu),6.35,475.76,12.86,8.96,0.44243,0.44850,30.48968,3683.085,3679.91,3686.26
,,Absorber plate,41.5,517.26,13.918,8.02,2.39136,2.83986,32.88104,3707.01,3686.26,3727.76
,,Air,4,521.26,37.1,0.0012,0.00001,2.83987,32.88105,3729.76,3727.76,3731.76
,,Stainless Steel,2.5,523.76,13.918,8.02,0.14406,2.98393,33.02511,3733.01,3731.76,3734.26
,,Air,0.4,524.16,37.1,0.0012,0.00000,2.98393,33.02511,3734.46,3734.26,3734.66
,,PCB,1.6,525.76,31.84,1.7,0.00854,2.99248,33.03365,3735.46,3734.66,3736.26
,,Air('electronics'),3.475,529.235,37.1,0.0012,0.00001,2.99249,33.03367,3737.9975,3736.26,3739.735
,,PCB (Hexaboard),1.6,530.835,31.84,1.7,0.00854,3.00103,33.04221,3740.535,3739.735,3741.335
,,glue,0.075,530.91,42.6,1.3,0.00023,3.00126,33.04244,3741.3725,3741.335,3741.41
15,28,Si,0.3,531.21,21.21,2.33,0.00330,3.00455,33.04573,3741.56,3741.41,3741.71
,,glue,0.075,531.285,42.6,1.3,0.00023,0.00023,33.04596,3741.7475,3741.71,3741.785
,,kapton,0.1,531.385,40.596,1.11,0.00027,0.00050,33.04623,3741.835,3741.785,3741.885
,,glue,0.075,531.46,42.6,1.3,0.00023,0.00073,33.04646,3741.9225,3741.885,3741.96
,,baseplate (PCB),1,532.46,31.84,1.7,0.00534,0.00607,33.05180,3742.46,3741.96,3742.96
,,Cooling plate (Cu),6.35,538.81,12.86,8.96,0.44243,0.44850,33.49423,3746.135,3742.96,3749.31
,,Absorber plate,41.5,580.31,13.918,8.02,2.39136,2.83986,35.88559,3770.06,3749.31,3790.81
,,Air,4,584.31,37.1,0.0012,0.00001,2.83987,35.88561,3792.81,3790.81,3794.81
,,Stainless Steel,2.5,586.81,13.918,8.02,0.14406,2.98393,36.02966,3796.06,3794.81,3797.31
,,Air,0.4,587.21,37.1,0.0012,0.00000,2.98393,36.02966,3797.51,3797.31,3797.71
,,PCB,1.6,588.81,31.84,1.7,0.00854,2.99248,36.03821,3798.51,3797.71,3799.31
,,Air('electronics'),3.475,592.285,37.1,0.0012,0.00001,2.99249,36.03822,3801.0475,3799.31,3802.785
,,PCB (Hexaboard),1.6,593.885,31.84,1.7,0.00854,3.00103,36.04676,3803.585,3802.785,3804.385
,,glue,0.075,593.96,42.6,1.3,0.00023,3.00126,36.04699,3804.4225,3804.385,3804.46
16,29,Si,0.3,594.26,21.21,2.33,0.00330,3.00455,36.05029,3804.61,3804.46,3804.76
,,glue,0.075,594.335,42.6,1.3,0.00023,0.00023,36.05051,3804.7975,3804.76,3804.835
,,kapton,0.1,594.435,40.596,1.11,0.00027,0.00050,36.05079,3804.885,3804.835,3804.935
,,glue,0.075,594.51,42.6,1.3,0.00023,0.00073,36.05102,3804.9725,3804.935,3805.01
,,baseplate (PCB),1,595.51,31.84,1.7,0.00534,0.00607,36.05636,3805.51,3805.01,3806.01
,,Cooling plate (Cu),6.35,601.86,12.86,8.96,0.44243,0.44850,36.49878,3809.185,3806.01,3812.36
,,Absorber plate,41.5,643.36,13.918,8.02,2.39136,2.83986,38.89015,3833.11,3812.36,3853.86
,,Air,4,647.36,37.1,0.0012,0.00001,2.83987,38.89016,3855.86,3853.86,3857.86
,,Stainless Steel,2.5,649.86,13.918,8.02,0.14406,2.98393,39.03422,3859.11,3857.86,3860.36
,,Air,0.4,650.26,37.1,0.0012,0.00000,2.98393,39.03422,3860.56,3860.36,3860.76
,,PCB,1.6,651.86,31.84,1.7,0.00854,2.99248,39.04276,3861.56,3860.76,3862.36
,,Air('electronics'),3.475,655.335,37.1,0.0012,0.00001,2.99249,39.04277,3864.0975,3862.36,3865.835
,,PCB (Hexaboard),1.6,656.935,31.84,1.7,0.00854,3.00103,39.05132,3866.635,3865.835,3867.435
,,glue,0.075,657.01,42.6,1.3,0.00023,3.00126,39.05154,3867.4725,3867.435,3867.51
17,30,Si,0.3,657.31,21.21,2.33,0.00330,3.00455,39.05484,3867.66,3867.51,3867.81
,,glue,0.075,657.385,42.6,1.3,0.00023,0.00023,39.05507,3867.8475,3867.81,3867.885
,,kapton,0.1,657.485,40.596,1.11,0.00027,0.00050,39.05534,3867.935,3867.885,3867.985
,,glue,0.075,657.56,42.6,1.3,0.00023,0.00073,39.05557,3868.0225,3867.985,3868.06
,,baseplate (PCB),1,658.56,31.84,1.7,0.00534,0.00607,39.06091,3868.56,3868.06,3869.06
,,Cooling plate (Cu),6.35,664.91,12.86,8.96,0.44243,0.44850,39.50334,3872.235,3869.06,3875.41
,,Absorber plate,41.5,706.41,13.918,8.02,2.39136,2.83986,41.89470,3896.16,3875.41,3916.91
,,Air,4,710.41,37.1,0.0012,0.00001,2.83987,41.89471,3918.91,3916.91,3920.91
,,Stainless Steel,2.5,712.91,13.918,8.02,0.14406,2.98393,42.03877,3922.16,3920.91,3923.41
,,Air,0.4,713.31,37.1,0.0012,0.00000,2.98393,42.03877,3923.61,3923.41,3923.81
,,PCB,1.6,714.91,31.84,1.7,0.00854,2.99248,42.04731,3924.61,3923.81,3925.41
,,Air('electronics'),3.475,718.385,37.1,0.0012,0.00001,2.99249,42.04733,3927.1475,3925.41,3928.885
,,PCB (Hexaboard),1.6,719.985,31.84,1.7,0.00854,3.00103,42.05587,3929.685,3928.885,3930.485
,,glue,0.075,720.06,42.6,1.3,0.00023,3.00126,42.05610,3930.5225,3930.485,3930.56
18,31,Si,0.3,720.36,21.21,2.33,0.00330,3.00455,42.05939,3930.71,3930.56,3930.86
,,glue,0.075,720.435,42.6,1.3,0.00023,0.00023,42.05962,3930.8975,3930.86,3930.935
,,kapton,0.1,720.535,40.596,1.11,0.00027,0.00050,42.05990,3930.985,3930.935,3931.035
,,glue,0.075,720.61,42.6,1.3,0.00023,0.00073,42.06012,3931.0725,3931.035,3931.11
,,baseplate (PCB),1,721.61,31.84,1.7,0.00534,0.00607,42.06546,3931.61,3931.11,3932.11
,,Cooling plate (Cu),6.35,727.96,12.86,8.96,0.44243,0.44850,42.50789,3935.285,3932.11,3938.46
,,Absorber plate,41.5,769.46,13.918,8.02,2.39136,2.83986,44.89925,3959.21,3938.46,3979.96
,,Air,4,773.46,37.1,0.0012,0.00001,2.83987,44.89927,3981.96,3979.96,3983.96
,,Stainless Steel,2.5,775.96,13.918,8.02,0.14406,2.98393,45.04332,3985.21,3983.96,3986.46
,,Air,0.4,776.36,37.1,0.0012,0.00000,2.98393,45.04333,3986.66,3986.46,3986.86
,,PCB,1.6,777.96,31.84,1.7,0.00854,2.99248,45.05187,3987.66,3986.86,3988.46
,,Air('electronics'),3.475,781.435,37.1,0.0012,0.00001,2.99249,45.05188,3990.1975,3988.46,3991.935
,,PCB (Hexaboard),1.6,783.035,31.84,1.7,0.00854,3.00103,45.06042,3992.735,3991.935,3993.535
,,glue,0.075,783.11,42.6,1.3,0.00023,3.00126,45.06065,3993.5725,3993.535,3993.61
19,32,Si,0.3,783.41,21.21,2.33,0.00330,3.00455,45.06395,3993.76,3993.61,3993.91
,,glue,0.075,783.485,42.6,1.3,0.00023,0.00023,45.06418,3993.9475,3993.91,3993.985
,,kapton,0.1,783.585,40.596,1.11,0.00027,0.00050,45.06445,3994.035,3993.985,3994.085
,,glue,0.075,783.66,42.6,1.3,0.00023,0.00073,45.06468,3994.1225,3994.085,3994.16
,,baseplate (PCB),1,784.66,31.84,1.7,0.00534,0.00607,45.07002,3994.66,3994.16,3995.16
,,Cooling plate (Cu),6.35,791.01,12.86,8.96,0.44243,0.44850,45.51244,3998.335,3995.16,4001.51
,,Absorber plate,41.5,832.51,13.918,8.02,2.39136,2.83986,47.90381,4022.26,4001.51,4043.01
,,Air,4,836.51,37.1,0.0012,0.00001,2.83987,47.90382,4045.01,4043.01,4047.01
,,Stainless Steel,2.5,839.01,13.918,8.02,0.14406,2.98393,48.04788,4048.26,4047.01,4049.51
,,Air,0.4,839.41,37.1,0.0012,0.00000,2.98393,48.04788,4049.71,4049.51,4049.91
,,PCB,1.6,841.01,31.84,1.7,0.00854,2.99248,48.05642,4050.71,4049.91,4051.51
,,Air('electronics'),3.475,844.485,37.1,0.0012,0.00001,2.99249,48.05643,4053.2475,4051.51,4054.985
,,PCB (Hexaboard),1.6,846.085,31.84,1.7,0.00854,3.00103,48.06498,4055.785,4054.985,4056.585
,,glue,0.075,846.16,42.6,1.3,0.00023,3.00126,48.06520,4056.6225,4056.585,4056.66
20,33,Si,0.3,846.46,21.21,2.33,0.00330,3.00455,48.06850,4056.81,4056.66,4056.96
,,glue,0.075,846.535,42.6,1.3,0.00023,0.00023,48.06873,4056.9975,4056.96,4057.035
,,kapton,0.1,846.635,40.596,1.11,0.00027,0.00050,48.06900,4057.085,4057.035,4057.135
,,glue,0.075,846.71,42.6,1.3,0.00023,0.00073,48.06923,4057.1725,4057.135,4057.21
,,baseplate (PCB),1,847.71,31.84,1.7,0.00534,0.00607,48.07457,4057.71,4057.21,4058.21
,,Cooling plate (Cu),6.35,854.06,12.86,8.96,0.44243,0.44850,48.51700,4061.385,4058.21,4064.56
,,Absorber plate,41.5,895.56,13.918,8.02,2.39136,2.83986,50.90836,4085.31,4064.56,4106.06
,,Air,4,899.56,37.1,0.0012,0.00001,2.83987,50.90837,4108.06,4106.06,4110.06
,,Stainless Steel,2.5,902.06,13.918,8.02,0.14406,2.98393,51.05243,4111.31,4110.06,4112.56
,,Air,0.4,902.46,37.1,0.0012,0.00000,2.98393,51.05243,4112.76,4112.56,4112.96
,,PCB,1.6,904.06,31.84,1.7,0.00854,2.99248,51.06098,4113.76,4112.96,4114.56
,,Air('electronics'),3.475,907.535,37.1,0.0012,0.00001,2.99249,51.06099,4116.2975,4114.56,4118.035
,,PCB (Hexaboard),1.6,909.135,31.84,1.7,0.00854,3.00103,51.06953,4118.835,4118.035,4119.635
,,glue,0.075,909.21,42.6,1.3,0.00023,3.00126,51.06976,4119.6725,4119.635,4119.71
21,34,Si,0.3,909.51,21.21,2.33,0.00330,3.00455,51.07305,4119.86,4119.71,4120.01
,,glue,0.075,909.585,42.6,1.3,0.00023,0.00023,51.07328,4120.0475,4120.01,4120.085
,,kapton,0.1,909.685,40.596,1.11,0.00027,0.00050,51.07356,4120.135,4120.085,4120.185
,,glue,0.075,909.76,42.6,1.3,0.00023,0.00073,51.07379,4120.2225,4120.185,4120.26
,,baseplate (PCB),1,910.76,31.84,1.7,0.00534,0.00607,51.07912,4120.76,4120.26,4121.26
,,Cooling plate (Cu),6.35,917.11,12.86,8.96,0.44243,0.44850,51.52155,4124.435,4121.26,4127.61
,,Absorber plate,41.5,958.61,13.918,8.02,2.39136,2.83986,53.91291,4148.36,4127.61,4169.11
,,Air,4,962.61,37.1,0.0012,0.00001,2.83987,53.91293,4171.11,4169.11,4173.11
,,Stainless Steel,2.5,965.11,13.918,8.02,0.14406,2.98393,54.05699,4174.36,4173.11,4175.61
,,Air,0.4,965.51,37.1,0.0012,0.00000,2.98393,54.05699,4175.81,4175.61,4176.01
,,PCB,1.6,967.11,31.84,1.7,0.00854,2.99248,54.06553,4176.81,4176.01,4177.61
,,Air('electronics'),3.475,970.585,37.1,0.0012,0.00001,2.99249,54.06554,4179.3475,4177.61,4181.085
,,PCB (Hexaboard),1.6,972.185,31.84,1.7,0.00854,3.00103,54.07408,4181.885,4181.085,4182.685
,,glue,0.075,972.26,42.6,1.3,0.00023,3.00126,54.07431,4182.7225,4182.685,4182.76
22,35,Si,0.3,972.56,21.21,2.33,0.00330,3.00455,54.07761,4182.91,4182.76,4183.06
,,glue,0.075,972.635,42.6,1.3,0.00023,0.00023,54.07784,4183.0975,4183.06,4183.135
,,kapton,0.1,972.735,40.596,1.11,0.00027,0.00050,54.07811,4183.185,4183.135,4183.235
,,glue,0.075,972.81,42.6,1.3,0.00023,0.00073,54.07834,4183.2725,4183.235,4183.31
,,baseplate (PCB),1,973.81,31.84,1.7,0.00534,0.00607,54.08368,4183.81,4183.31,4184.31
,,Cooling plate (Cu),6.35,980.16,12.86,8.96,0.44243,0.44850,54.52610,4187.485,4184.31,4190.66
,,Absorber plate,41.5,1021.66,13.918,8.02,2.39136,2.83986,56.91747,4211.41,4190.66,4232.16
,,Air,4,1025.66,37.1,0.0012,0.00001,2.83987,56.91748,4234.16,4232.16,4236.16
,,Stainless Steel,2.5,1028.16,13.918,8.02,0.14406,2.98393,57.06154,4237.41,4236.16,4238.66
,,Air,0.4,1028.56,37.1,0.0012,0.00000,2.98393,57.06154,4238.86,4238.66,4239.06
,,PCB,1.6,1030.16,31.84,1.7,0.00854,2.99248,57.07008,4239.86,4239.06,4240.66
,,Air('electronics'),3.475,1033.635,37.1,0.0012,0.00001,2.99249,57.07009,4242.3975,4240.66,4244.135
,,PCB (Hexaboard),1.6,1035.235,31.84,1.7,0.00854,3.00103,57.07864,4244.935,4244.135,4245.735
,,glue,0.075,1035.31,42.6,1.3,0.00023,3.00126,57.07887,4245.7725,4245.735,4245.81
23,36,Si,0.3,1035.61,21.21,2.33,0.00330,3.00455,57.08216,4245.96,4245.81,4246.11
,,glue,0.075,1035.685,42.6,1.3,0.00023,0.00023,57.08239,4246.1475,4246.11,4246.185
,,kapton,0.1,1035.785,40.596,1.11,0.00027,0.00050,57.08266,4246.235,4246.185,4246.285
,,glue,0.075,1035.86,42.6,1.3,0.00023,0.00073,57.08289,4246.3225,4246.285,4246.36
,,baseplate (PCB),1,1036.86,31.84,1.7,0.00534,0.00607,57.08823,4246.86,4246.36,4247.36
,,Cooling plate (Cu),6.35,1043.21,12.86,8.96,0.44243,0.44850,57.53066,4250.535,4247.36,4253.71
,,Absorber plate,41.5,1084.71,13.918,8.02,2.39136,2.83986,59.92202,4274.46,4253.71,4295.21
,,Air,4,1088.71,37.1,0.0012,0.00001,2.83987,59.92203,4297.21,4295.21,4299.21
,,Stainless Steel,2.5,1091.21,13.918,8.02,0.14406,2.98393,60.06609,4300.46,4299.21,4301.71
,,Air,0.4,1091.61,37.1,0.0012,0.00000,2.98393,60.06609,4301.91,4301.71,4302.11
,,PCB,1.6,1093.21,31.84,1.7,0.00854,2.99248,60.07464,4302.91,4302.11,4303.71
,,Air('electronics'),3.475,1096.685,37.1,0.0012,0.00001,2.99249,60.07465,4305.4475,4303.71,4307.185
,,PCB (Hexaboard),1.6,1098.285,31.84,1.7,0.00854,3.00103,60.08319,4307.985,4307.185,4308.785
