Cassette #,Layer #,Material,Thickness (mm),Cumulative Thickness (mm),Radition Length (g/cm2),Density (g/cm3),# of Radiation Lengths,Layerwise Radiation Lentgh,Cumulative Radiation Length,Z values,Z min,Z max
,,Stainless Steel,0.3,59.34,13.918,8.02,0.01729,0.04158,3.52480,3269.69,3269.54,3269.84
,,glue,0.05,59.39,42.6,1.3,0.00015,0.04173,3.52495,3269.865,3269.84,3269.89
,,Lead,4.97,64.36,6.37,11.35,0.88555,0.92728,4.41050,3272.375,3269.89,3274.86
,,glue,0.05,64.41,42.6,1.3,0.00015,0.92744,4.41065,3274.885,3274.86,3274.91
,,Stainless Steel,0.3,64.71,13.918,8.02,0.01729,0.94472,4.42794,3275.06,3274.91,3275.21
,,Cu,0.1,64.81,12.86,8.96,0.00697,0.95169,4.43491,3275.26,3275.21,3275.31
,,Air,0.225,65.035,37.1,0.0012,0.00000,0.95169,4.43491,3275.4225,3275.31,3275.535
,,PCB,1.6,66.635,31.84,1.7,0.00854,0.96023,4.44345,3276.335,3275.535,3277.135
,,Air('electronics'),3.73,70.365,37.1,0.0012,0.00001,0.96025,4.44346,3279,3277.135,3280.865
,,PCB (Hexaboard),1.6,71.965,31.84,1.7,0.00854,0.96879,4.45200,3281.665,3280.865,3282.465
,,glue,0.075,72.04,42.6,1.3,0.00023,0.96902,4.45223,3282.5025,3282.465,3282.54
3,5,Si,0.3,72.34,21.21,2.33,0.00330,0.97231,4.45553,3282.69,3282.54,3282.84
,,glue,0.065,72.405,42.6,1.3,0.00020,0.00020,4.45573,3282.8725,3282.84,3282.905
,,kapton,0.265,72.67,40.596,1.11,0.00072,0.00092,4.45645,3283.0375,3282.905,3283.17
,,glue,0.065,72.735,42.6,1.3,0.00020,0.00112,4.45665,3283.2025,3283.17,3283.235
,,Cu/W,1.4,74.135,7.669,14.979,0.27345,0.27457,4.73010,3283.935,3283.235,3284.635
,,Cooling plate (Cu),6.05,80.185,12.86,8.96,0.42152,0.69609,5.15162,3287.66,3284.635,3290.685
,,Cu/W,1.4,81.585,7.669,14.979,0.27345,0.96954,5.42507,3291.385,3290.685,3292.085
,,glue,0.065,81.65,42.6,1.3,0.00020,0.96974,5.42526,3292.1175,3292.085,3292.15
,,kapton,0.265,81.915,40.596,1.11,0.00072,0.97046,5.42599,3292.2825,3292.15,3292.415
,,glue,0.065,81.98,42.6,1.3,0.00020,0.97066,5.42619,3292.4475,3292.415,3292.48
3,6,SI,0.3,82.28,21.21,2.33,0.00330,0.97395,5.42948,3292.63,3292.48,3292.78
,,glue,0.075,82.355,42.6,1.3,0.00023,0.00023,5.42971,3292.8175,3292.78,3292.855
,,PCB (Hexaboard),1.6,83.955,31.84,1.7,0.00854,0.00877,5.43825,3293.655,3292.855,3294.455
,,Air('electronics'),3.73,87.685,37.1,0.0012,0.00001,0.00878,5.43827,3296.32,3294.455,3298.185
,,PCB,1.6,89.285,31.84,1.7,0.00854,0.01733,5.44681,3298.985,3298.185,3299.785
,,Air,0.225,89.51,37.1,0.0012,0.00000,0.01733,5.44681,3299.8975,3299.785,3300.01
,,Cu,0.1,89.61,12.86,8.96,0.00697,0.02429,5.45378,3300.06,3300.01,3300.11
,,Stainless Steel,0.3,89.91,13.918,8.02,0.01729,0.04158,5.47106,3300.26,3300.11,3300.41
,,glue,0.05,89.96,42.6,1.3,0.00015,0.04173,5.47122,3300.435,3300.41,3300.46
,,Lead,4.97,94.93,6.37,11.35,0.88555,0.92728,6.35677,3302.945,3300.46,3305.43
,,glue,0.05,94.98,42.6,1.3,0.00015,0.92744,6.35692,3305.455,3305.43,3305.48
,,Stainless Steel,0.3,95.28,13.918,8.02,0.01729,0.94472,6.37421,3305.63,3305.48,3305.78
,,Cu,0.1,95.38,12.86,8.96,0.00697,0.95169,6.38117,3305.83,3305.78,3305.88
,,Air,0.225,95.605,37.1,0.0012,0.00000,0.95169,6.38117,3305.9925,3305.88,3306.105
,,PCB,1.6,97.205,31.84,1.7,0.00854,0.96023,6.38972,3306.905,3306.105,3307.705
,,Air('electronics'),3.73,100.935,37.1,0.0012,0.00001,0.96025,6.38973,3309.57,3307.705,3311.435
,,PCB (Hexaboard),1.6,102.535,31.84,1.7,0.00854,0.96879,6.39827,3312.235,3311.435,3313.035
,,glue,0.075,102.61,42.6,1.3,0.00023,0.96902,6.39850,3313.0725,3313.035,3313.11
4,7,SI,0.3,102.91,21.21,2.33,0.00330,0.97231,6.40180,3313.26,3313.11,3313.41
,,glue,0.065,102.975,42.6,1.3,0.00020,0.00020,6.40199,3313.4425,3313.41,3313.475
,,kapton,0.265,103.24,40.596,1.11,0.00072,0.00092,6.40272,3313.6075,3313.475,3313.74
,,glue,0.065,103.305,42.6,1.3,0.00020,0.00112,6.40292,3313.7725,3313.74,3313.805
,,Cu/W,1.4,104.705,7.669,14.979,0.27345,0.27457,6.67636,3314.505,3313.805,3315.205
,,Cooling plate (Cu),6.05,110.755,12.86,8.96,0.42152,0.69609,7.09789,3318.23,3315.205,3321.255
,,Cu/W,1.4,112.155,7.669,14.979,0.27345,0.96954,7.37133,3321.955,3321.255,3322.655
,,glue,0.065,112.22,42.6,1.3,0.00020,0.96974,7.37153,3322.6875,3322.655,3322.72
,,kapton,0.265,112.485,40.596,1.11,0.00072,0.97046,7.37226,3322.8525,3322.72,3322.985
,,glue,0.065,112.55,42.6,1.3,0.00020,0.97066,7.37246,3323.0175,3322.985,3323.05
4,8,Si,0.3,112.85,21.21,2.33,0.00330,0.97395,7.37575,3323.2,3323.05,3323.35
,,glue,0.075,112.925,42.6,1.3,0.00023,0.00023,7.37598,3323.3875,3323.35,3323.425
,,PCB (Hexaboard),1.6,114.525,31.84,1.7,0.00854,0.00877,7.38452,3324.225,3323.425,3325.025
,,Air('electronics'),3.73,118.255,37.1,0.0012,0.00001,0.00878,7.38453,3326.89,3325.025,3328.755
,,PCB,1.6,119.855,31.84,1.7,0.00854,0.01733,7.39308,3329.555,3328.755,3330.355
,,Air,0.225,120.08,37.1,0.0012,0.00000,0.01733,7.39308,3330.4675,3330.355,3330.58
,,Cu,0.1,120.18,12.86,8.96,0.00697,0.02429,7.40005,3330.63,3330.58,3330.68
,,Stainless Steel,0.3,120.48,13.918,8.02,0.01729,0.04158,7.41733,3330.83,3330.68,3330.98
,,glue,0.05,120.53,42.6,1.3,0.00015,0.04173,7.41749,3331.005,3330.98,3331.03
,,Lead,4.97,125.5,6.37,11.35,0.88555,0.92728,8.30303,3333.515,3331.03,3336
,,glue,0.05,125.55,42.6,1.3,0.00015,0.92744,8.30319,3336.025,3336,3336.05
,,Stainless Steel,0.3,125.85,13.918,8.02,0.01729,0.94472,8.32047,3336.2,3336.05,3336.35
,,Cu,0.1,125.95,12.86,8.96,0.00697,0.95169,8.32744,3336.4,3336.35,3336.45
,,Air,0.225,126.175,37.1,0.0012,0.00000,0.95169,8.32744,3336.5625,3336.45,3336.675
