 EventID   CumTr  TrackID  Layer        X_mm        Y_mm        Z_mm    pTot_MeV       Eta       Phi     Theta   Charge   Energy_MeV    Edep_MeV    PDG_ID
       0       3      810     29     159.930     392.208    3804.460       4.732    0.8457    0.9004    0.8109     -1.0        4.248    0.101615        11
       0       3      811     30     157.113     396.754    3867.510     103.483    2.7030    2.4198    0.1338     -1.0      102.973    0.084560        11
       0       3      819     33     164.632     412.442    4056.944       0.891    0.5852    0.5935    1.0164     -1.0        0.516    0.014960        11
       0       3      865     43     168.287     460.945    4802.360       1.682    1.0271   -2.8832    0.6876     -1.0        1.246    0.113181        11
       0       3      883     47     149.125     475.217    5131.360       1.839    1.0092   -2.4129    0.6991     -1.0        1.398    0.095362        11
       0       3      885     47     149.960     476.369    5131.360       0.081    1.6330   -2.8443    0.3858      0.0        0.081    0.000000        22
       0       3      918     45     173.183     473.631    4966.860       0.297    0.7495    0.5183    0.8829      0.0        0.297    0.000000        22
       0       3      929     44     181.576     480.696    4884.610       0.790    1.2283    0.4186    0.5697      0.0        0.790    0.000000        22
       0       3     1029     30     157.814     397.382    3867.510       4.317    2.5847    1.8533    0.1506      0.0        4.317    0.000000        22
       0       3     1029     31     155.147     406.568    3930.560       4.317    2.5847    1.8533    0.1506      0.0        4.317    0.000000        22
       0       3     1030     30     157.333     396.873    3867.510       0.310    2.7047    2.1896    0.1336      0.0        0.310    0.000000        22
       0       3     1035     31     140.965     392.080    3930.560       0.980    1.3212   -2.6103    0.5215      0.0        0.980    0.000000        22
       0       3     1043     31     155.119     377.320    3930.560       0.650    1.7442   -2.1424    0.3461      0.0        0.650    0.000000        22
       0       3     1052     31     173.109     385.115    3930.560       0.511    1.2729   -0.7623    0.5460      0.0        0.511    0.000000        22
       0       3     1052     32     201.224     395.542    3993.610       0.382    1.2759    1.5867    0.5445      0.0        0.382    0.000000        22
       0       3     1073     31     144.213     429.461    3930.560       2.755    0.9101    2.0107    0.7653      0.0        2.755    0.000000        22
       0       3     1073     32     143.012     474.490    3993.610       1.997    1.1760    1.4657    0.5985      0.0        1.997    0.000000        22
       0       3     1073     33     142.052     564.569    4056.660       0.126    0.6280   -2.7992    0.9804      0.0        0.126    0.000000        22
       0       3     1083     33     141.962     564.537    4056.724       0.014   -0.2220   -1.4675    1.7910     -1.0        0.000    0.000198        11
       0       3     1097     31     219.131     414.962    3930.560       0.614    0.4014    0.2313    1.1798      0.0        0.614    0.000000        22
       0       3     1098     31     168.692     411.154    3930.560       0.765    1.2255    0.9877    0.5711      0.0        0.765    0.000000        22
       0       3     1099     31     147.536     407.234    3930.560       2.325    1.6837    2.7291    0.3672      0.0        2.325    0.000000        22
       0       3     1130     31     156.141     409.747    3930.560       0.243    2.1243    1.6401    0.2379      0.0        0.243    0.000000        22
       0       3     1134     31     146.517     416.434    3930.560       1.236    1.1798    1.9521    0.5963      0.0        1.236    0.000000        22
       0       3     1136     31     132.496     416.827    3930.560       0.062    0.2365    2.8600    1.3365      0.0        0.062    0.000000        22
       0       3     1227     31     166.557     403.298    3930.860       0.456   -0.8369   -0.5241    2.3242      0.0        0.456    0.000000        22
       0       3     1244     19     148.676     363.661    3499.780      11.462    1.4570    0.9216    0.4577      0.0       11.462    0.000000        22
       0       3     1244     20     151.637     367.561    3509.720      11.462    1.4570    0.9216    0.4577      0.0       11.462    0.000000        22
       0       3     1245     19     133.159     361.589    3499.780       0.836    1.0141    2.8414    0.6959      0.0        0.836    0.000000        22
       0       3     1245     20      95.042     356.593    3509.720       0.253    1.3064    2.4479    0.5289      0.0        0.253    0.000000        22
       0       3     1246     18     135.269     352.730    3476.200       0.218   -0.8383   -2.5301    2.3253      0.0        0.218    0.000000        22
       0       4        1      0    2803.180     697.270       0.000    5000.000    1.9600    4.9562    0.2788      1.0     5001.116    0.000000       -13
       0       4        5      1     214.675    -862.980    3221.400    4994.053    1.9495   -1.3239    0.2828      1.0     4889.512    0.088121       -13
       0       4        5      2     215.383    -865.774    3231.340    4983.139    1.9484   -1.3172    0.2831      1.0     4878.601    0.101404       -13
       0       4        5      3     216.868    -871.572    3251.970    4973.561    1.9532   -1.3197    0.2818      1.0     4869.024    0.104148       -13
       0       4        5      4     217.583    -874.355    3261.910    4962.129    1.9682   -1.3162    0.2776      1.0     4857.595    0.081823       -13
       0       4        5      5     219.058    -880.044    3282.540    4951.398    1.9711   -1.3187    0.2768      1.0     4846.867    0.082478       -13
       0       4        5      6     219.754    -882.772    3292.480    4939.730    1.9727   -1.3224    0.2764      1.0     4835.201    0.146786       -13
